il,plaka,bolge,nufus_2022,yogunluk_kategori
Adana,1,Akdeniz,2237940,orta
Adıyaman,2,Güneydoğu Anadolu,635169,dusuk
Afyonkarahisar,3,Ege,747555,dusuk
Ağrı,4,Doğu Anadolu,510626,dusuk
Amasya,5,Karadeniz,326351,dusuk
Ankara,6,İç Anadolu,5782285,yuksek
Antalya,7,Akdeniz,2688004,yuksek
Artvin,8,Karadeniz,170875,dusuk
Aydın,9,Ege,1148241,orta
Balıkesir,10,Marmara,1257590,orta
Bilecik,11,Marmara,231657,dusuk
Bingöl,12,Doğu Anadolu,281205,dusuk
Bitlis,13,Doğu Anadolu,353988,dusuk
Bolu,14,Karadeniz,320824,dusuk
Burdur,15,Akdeniz,273412,dusuk
Bursa,16,Marmara,3147818,yuksek
Çanakkale,17,Marmara,571699,dusuk
Çankırı,18,İç Anadolu,193113,dusuk
Çorum,19,Karadeniz,516999,dusuk
Denizli,20,Ege,1051776,orta
Diyarbakır,21,Güneydoğu Anadolu,1791373,orta
Edirne,22,Marmara,412086,dusuk
Elazığ,23,Doğu Anadolu,591506,dusuk
Erzincan,24,Doğu Anadolu,237351,dusuk
Erzurum,25,Doğu Anadolu,749145,orta
Eskişehir,26,İç Anadolu,912675,orta
Gaziantep,27,Güneydoğu Anadolu,2130432,yuksek
Giresun,28,Karadeniz,448400,dusuk
Gümüşhane,29,Karadeniz,141702,dusuk
Hakkari,30,Doğu Anadolu,290892,dusuk
Hatay,31,Akdeniz,1659320,orta
Isparta,32,Akdeniz,447472,dusuk
Mersin,33,Akdeniz,1916432,orta
İstanbul,34,Marmara,15907951,yuksek
İzmir,35,Ege,4462056,yuksek
Kars,36,Doğu Anadolu,286313,dusuk
Kastamonu,37,Karadeniz,383373,dusuk
Kayseri,38,İç Anadolu,1441523,orta
Kırklareli,39,Marmara,370809,dusuk
Kırşehir,40,İç Anadolu,240481,dusuk
Kocaeli,41,Marmara,2079072,yuksek
Konya,42,İç Anadolu,2277017,orta
Kütahya,43,Ege,580701,dusuk
Malatya,44,Doğu Anadolu,812580,orta
Manisa,45,Ege,1450616,orta
Kahramanmaraş,46,Akdeniz,1168163,orta
Mardin,47,Güneydoğu Anadolu,854716,orta
Muğla,48,Ege,1048161,orta
Muş,49,Doğu Anadolu,404322,dusuk
Nevşehir,50,İç Anadolu,310011,dusuk
Niğde,51,İç Anadolu,364707,dusuk
Ordu,52,Karadeniz,761400,orta
Rize,53,Karadeniz,344016,dusuk
Sakarya,54,Marmara,1080080,orta
Samsun,55,Karadeniz,1368488,orta
Siirt,56,Güneydoğu Anadolu,335168,dusuk
Sinop,57,Karadeniz,220799,dusuk
Sivas,58,İç Anadolu,634924,dusuk
Tekirdağ,59,Marmara,1142451,orta
Tokat,60,Karadeniz,596454,dusuk
Trabzon,61,Karadeniz,818023,orta
Tunceli,62,Doğu Anadolu,82258,dusuk
Şanlıurfa,63,Güneydoğu Anadolu,2170110,yuksek
Uşak,64,Ege,371509,dusuk
Van,65,Doğu Anadolu,1149342,orta
Yozgat,66,İç Anadolu,414230,dusuk
Zonguldak,67,Karadeniz,586284,dusuk
Aksaray,68,İç Anadolu,428465,dusuk
Bayburt,69,Karadeniz,84843,dusuk
Karaman,70,İç Anadolu,261989,dusuk
Kırıkkale,71,İç Anadolu,271098,dusuk
Batman,72,Güneydoğu Anadolu,635112,orta
Şırnak,73,Güneydoğu Anadolu,538140,dusuk
Bartın,74,Karadeniz,201711,dusuk
Ardahan,75,Doğu Anadolu,96094,dusuk
Iğdır,76,Doğu Anadolu,201314,dusuk
Yalova,77,Marmara,296333,dusuk
Karabük,78,Karadeniz,252025,dusuk
Kilis,79,Güneydoğu Anadolu,147198,dusuk
Osmaniye,80,Akdeniz,559405,dusuk
Düzce,81,Karadeniz,405131,dusuk
